50,1,1,8
50,1,1,16
50,1,1,32
50,1,1,64
50,1,1,128
50,1,1,256
50,1,1,512
50,2,1,8
50,2,1,16
50,2,1,32
50,2,1,64
50,2,1,128
50,2,1,256
50,2,1,512
50,2,2,8
50,2,2,16
50,2,2,32
50,2,2,64
50,2,2,128
50,2,2,256
50,2,2,512
50,4,1,8
50,4,1,16
50,4,1,32
50,4,1,64
50,4,1,128
50,4,1,256
50,4,1,512
50,4,2,8
50,4,2,16
50,4,2,32
50,4,2,64
50,4,2,128
50,4,2,256
50,4,2,512
50,4,4,8
50,4,4,16
50,4,4,32
50,4,4,64
50,4,4,128
50,4,4,256
50,4,4,512
50,8,1,8
50,8,1,16
50,8,1,32
50,8,1,64
50,8,1,128
50,8,1,256
50,8,1,512
50,8,2,8
50,8,2,16
50,8,2,32
50,8,2,64
50,8,2,128
50,8,2,256
50,8,2,512
50,8,4,8
50,8,4,16
50,8,4,32
50,8,4,64
50,8,4,128
50,8,4,256
50,8,4,512
50,8,8,8
50,8,8,16
50,8,8,32
50,8,8,64
50,8,8,128
50,8,8,256
50,8,8,512
50,16,1,8
50,16,1,16
50,16,1,32
50,16,1,64
50,16,1,128
50,16,1,256
50,16,1,512
50,16,2,8
50,16,2,16
50,16,2,32
50,16,2,64
50,16,2,128
50,16,2,256
50,16,2,512
50,16,4,8
50,16,4,16
50,16,4,32
50,16,4,64
50,16,4,128
50,16,4,256
50,16,4,512
50,16,8,8
50,16,8,16
50,16,8,32
50,16,8,64
50,16,8,128
50,16,8,256
50,16,8,512
50,16,16,8
50,16,16,16
50,16,16,32
50,16,16,64
50,16,16,128
50,16,16,256
50,16,16,512
50,32,1,8
50,32,1,16
50,32,1,32
50,32,1,64
50,32,1,128
50,32,1,256
50,32,1,512
50,32,2,8
50,32,2,16
50,32,2,32
50,32,2,64
50,32,2,128
50,32,2,256
50,32,2,512
50,32,4,8
50,32,4,16
50,32,4,32
50,32,4,64
50,32,4,128
50,32,4,256
50,32,4,512
50,32,8,8
50,32,8,16
50,32,8,32
50,32,8,64
50,32,8,128
50,32,8,256
